State,District,Crime Category,Crime Type,Incident Date,Reported Crimes
Johor,All,assault,Every Crime,2016,2820
Johor,All,assault,Every Crime,2017,2578
Johor,All,assault,Every Crime,2018,1880
Johor,All,assault,Every Crime,2019,1923
Johor,All,assault,Every Crime,2020,1384
Johor,All,assault,Every Crime,2021,925
Johor,All,assault,Every Crime,2022,973
Johor,All,assault,Causing Injury,2016,708
Johor,All,assault,Causing Injury,2017,614
Johor,All,assault,Causing Injury,2018,578
Johor,All,assault,Causing Injury,2019,599
Johor,All,assault,Causing Injury,2020,447
Johor,All,assault,Causing Injury,2021,365
Johor,All,assault,Causing Injury,2022,333
Johor,All,assault,Murder,2016,70
Johor,All,assault,Murder,2017,66
Johor,All,assault,Murder,2018,43
Johor,All,assault,Murder,2019,35
Johor,All,assault,Murder,2020,36
Johor,All,assault,Murder,2021,21
Johor,All,assault,Murder,2022,30
Johor,All,assault,Rape,2016,274
Johor,All,assault,Rape,2017,196
Johor,All,assault,Rape,2018,187
Johor,All,assault,Rape,2019,206
Johor,All,assault,Rape,2020,164
Johor,All,assault,Rape,2021,144
Johor,All,assault,Rape,2022,147
Johor,All,assault,Robbery Gang Armed,2016,10
Johor,All,assault,Robbery Gang Armed,2017,1
Johor,All,assault,Robbery Gang Armed,2018,2
Johor,All,assault,Robbery Gang Armed,2019,1
Johor,All,assault,Robbery Gang Armed,2020,1
Johor,All,assault,Robbery Gang Armed,2021,1
Johor,All,assault,Robbery Gang Armed,2022,0
Johor,All,assault,Robbery Gang Unarmed,2016,1308
Johor,All,assault,Robbery Gang Unarmed,2017,1220
Johor,All,assault,Robbery Gang Unarmed,2018,740
Johor,All,assault,Robbery Gang Unarmed,2019,753
Johor,All,assault,Robbery Gang Unarmed,2020,257
Johor,All,assault,Robbery Gang Unarmed,2021,256
Johor,All,assault,Robbery Gang Unarmed,2022,270
Johor,All,assault,Robbery Solo Armed,2016,3
Johor,All,assault,Robbery Solo Armed,2017,0
Johor,All,assault,Robbery Solo Armed,2018,0
Johor,All,assault,Robbery Solo Armed,2019,1
Johor,All,assault,Robbery Solo Armed,2020,0
Johor,All,assault,Robbery Solo Armed,2021,0
Johor,All,assault,Robbery Solo Armed,2022,0
Johor,All,assault,Robbery Solo Unarmed,2016,447
Johor,All,assault,Robbery Solo Unarmed,2017,481
Johor,All,assault,Robbery Solo Unarmed,2018,330
Johor,All,assault,Robbery Solo Unarmed,2019,328
Johor,All,assault,Robbery Solo Unarmed,2020,479
Johor,All,assault,Robbery Solo Unarmed,2021,138
Johor,All,assault,Robbery Solo Unarmed,2022,193
Johor,All,property,Every Crime,2016,10121
Johor,All,property,Every Crime,2017,8729
Johor,All,property,Every Crime,2018,8458
Johor,All,property,Every Crime,2019,7947
Johor,All,property,Every Crime,2020,5966
Johor,All,property,Every Crime,2021,3440
Johor,All,property,Every Crime,2022,3489
Johor,All,property,Break In,2016,1475
Johor,All,property,Break In,2017,1211
Johor,All,property,Break In,2018,1239
Johor,All,property,Break In,2019,1364
Johor,All,property,Break In,2020,1273
Johor,All,property,Break In,2021,883
Johor,All,property,Break In,2022,767
Johor,All,property,Theft Other,2016,2117
Johor,All,property,Theft Other,2017,2043
Johor,All,property,Theft Other,2018,2025
Johor,All,property,Theft Other,2019,1912
Johor,All,property,Theft Other,2020,1403
Johor,All,property,Theft Other,2021,942
Johor,All,property,Theft Other,2022,1041
Johor,All,property,Theft Vehicle Lorry,2016,400
Johor,All,property,Theft Vehicle Lorry,2017,274
Johor,All,property,Theft Vehicle Lorry,2018,278
Johor,All,property,Theft Vehicle Lorry,2019,219
Johor,All,property,Theft Vehicle Lorry,2020,141
Johor,All,property,Theft Vehicle Lorry,2021,71
Johor,All,property,Theft Vehicle Lorry,2022,73
Johor,All,property,Theft Vehicle Motorcar,2016,1443
Johor,All,property,Theft Vehicle Motorcar,2017,1097
Johor,All,property,Theft Vehicle Motorcar,2018,1035
Johor,All,property,Theft Vehicle Motorcar,2019,981
Johor,All,property,Theft Vehicle Motorcar,2020,802
Johor,All,property,Theft Vehicle Motorcar,2021,400
Johor,All,property,Theft Vehicle Motorcar,2022,429
Johor,All,property,Theft Vehicle Motorcycle,2016,4686
Johor,All,property,Theft Vehicle Motorcycle,2017,4104
Johor,All,property,Theft Vehicle Motorcycle,2018,3881
Johor,All,property,Theft Vehicle Motorcycle,2019,3471
Johor,All,property,Theft Vehicle Motorcycle,2020,2347
Johor,All,property,Theft Vehicle Motorcycle,2021,1144
Johor,All,property,Theft Vehicle Motorcycle,2022,1179
Johor,Batu Pahat,assault,Every Crime,2016,160
Johor,Batu Pahat,assault,Every Crime,2017,123
Johor,Batu Pahat,assault,Every Crime,2018,104
Johor,Batu Pahat,assault,Every Crime,2019,139
Johor,Batu Pahat,assault,Every Crime,2020,127
Johor,Batu Pahat,assault,Every Crime,2021,60
Johor,Batu Pahat,assault,Every Crime,2022,52
Johor,Batu Pahat,assault,Causing Injury,2016,39
Johor,Batu Pahat,assault,Causing Injury,2017,41
Johor,Batu Pahat,assault,Causing Injury,2018,28
Johor,Batu Pahat,assault,Causing Injury,2019,41
Johor,Batu Pahat,assault,Causing Injury,2020,43
Johor,Batu Pahat,assault,Causing Injury,2021,22
Johor,Batu Pahat,assault,Causing Injury,2022,19
Johor,Batu Pahat,assault,Murder,2016,6
Johor,Batu Pahat,assault,Murder,2017,0
Johor,Batu Pahat,assault,Murder,2018,3
Johor,Batu Pahat,assault,Murder,2019,3
Johor,Batu Pahat,assault,Murder,2020,3
Johor,Batu Pahat,assault,Murder,2021,0
Johor,Batu Pahat,assault,Murder,2022,3
Johor,Batu Pahat,assault,Rape,2016,29
Johor,Batu Pahat,assault,Rape,2017,23
Johor,Batu Pahat,assault,Rape,2018,13
Johor,Batu Pahat,assault,Rape,2019,29
Johor,Batu Pahat,assault,Rape,2020,16
Johor,Batu Pahat,assault,Rape,2021,18
Johor,Batu Pahat,assault,Rape,2022,13
Johor,Batu Pahat,assault,Robbery Gang Armed,2016,1
Johor,Batu Pahat,assault,Robbery Gang Armed,2017,0
Johor,Batu Pahat,assault,Robbery Gang Armed,2018,0
Johor,Batu Pahat,assault,Robbery Gang Armed,2019,0
Johor,Batu Pahat,assault,Robbery Gang Armed,2020,0
Johor,Batu Pahat,assault,Robbery Gang Armed,2021,0
Johor,Batu Pahat,assault,Robbery Gang Armed,2022,0
Johor,Batu Pahat,assault,Robbery Gang Unarmed,2016,56
Johor,Batu Pahat,assault,Robbery Gang Unarmed,2017,47
Johor,Batu Pahat,assault,Robbery Gang Unarmed,2018,33
Johor,Batu Pahat,assault,Robbery Gang Unarmed,2019,37
Johor,Batu Pahat,assault,Robbery Gang Unarmed,2020,32
Johor,Batu Pahat,assault,Robbery Gang Unarmed,2021,9
Johor,Batu Pahat,assault,Robbery Gang Unarmed,2022,5
Johor,Batu Pahat,assault,Robbery Solo Armed,2016,1
Johor,Batu Pahat,assault,Robbery Solo Armed,2017,0
Johor,Batu Pahat,assault,Robbery Solo Armed,2018,0
Johor,Batu Pahat,assault,Robbery Solo Armed,2019,0
Johor,Batu Pahat,assault,Robbery Solo Armed,2020,0
Johor,Batu Pahat,assault,Robbery Solo Armed,2021,0
Johor,Batu Pahat,assault,Robbery Solo Armed,2022,0
Johor,Batu Pahat,assault,Robbery Solo Unarmed,2016,28
Johor,Batu Pahat,assault,Robbery Solo Unarmed,2017,12
Johor,Batu Pahat,assault,Robbery Solo Unarmed,2018,27
Johor,Batu Pahat,assault,Robbery Solo Unarmed,2019,29
Johor,Batu Pahat,assault,Robbery Solo Unarmed,2020,33
Johor,Batu Pahat,assault,Robbery Solo Unarmed,2021,11
Johor,Batu Pahat,assault,Robbery Solo Unarmed,2022,12
Johor,Batu Pahat,property,Every Crime,2016,621
Johor,Batu Pahat,property,Every Crime,2017,558
Johor,Batu Pahat,property,Every Crime,2018,584
Johor,Batu Pahat,property,Every Crime,2019,524
Johor,Batu Pahat,property,Every Crime,2020,415
Johor,Batu Pahat,property,Every Crime,2021,200
Johor,Batu Pahat,property,Every Crime,2022,262
Johor,Batu Pahat,property,Break In,2016,115
Johor,Batu Pahat,property,Break In,2017,90
Johor,Batu Pahat,property,Break In,2018,158
Johor,Batu Pahat,property,Break In,2019,157
Johor,Batu Pahat,property,Break In,2020,122
Johor,Batu Pahat,property,Break In,2021,55
Johor,Batu Pahat,property,Break In,2022,80
Johor,Batu Pahat,property,Theft Other,2016,192
Johor,Batu Pahat,property,Theft Other,2017,119
Johor,Batu Pahat,property,Theft Other,2018,140
Johor,Batu Pahat,property,Theft Other,2019,127
Johor,Batu Pahat,property,Theft Other,2020,122
Johor,Batu Pahat,property,Theft Other,2021,72
Johor,Batu Pahat,property,Theft Other,2022,83
Johor,Batu Pahat,property,Theft Vehicle Lorry,2016,16
Johor,Batu Pahat,property,Theft Vehicle Lorry,2017,10
Johor,Batu Pahat,property,Theft Vehicle Lorry,2018,15
Johor,Batu Pahat,property,Theft Vehicle Lorry,2019,4
Johor,Batu Pahat,property,Theft Vehicle Lorry,2020,12
Johor,Batu Pahat,property,Theft Vehicle Lorry,2021,2
Johor,Batu Pahat,property,Theft Vehicle Lorry,2022,7
Johor,Batu Pahat,property,Theft Vehicle Motorcar,2016,41
Johor,Batu Pahat,property,Theft Vehicle Motorcar,2017,52
Johor,Batu Pahat,property,Theft Vehicle Motorcar,2018,46
Johor,Batu Pahat,property,Theft Vehicle Motorcar,2019,28
Johor,Batu Pahat,property,Theft Vehicle Motorcar,2020,38
Johor,Batu Pahat,property,Theft Vehicle Motorcar,2021,12
Johor,Batu Pahat,property,Theft Vehicle Motorcar,2022,16
Johor,Batu Pahat,property,Theft Vehicle Motorcycle,2016,257
Johor,Batu Pahat,property,Theft Vehicle Motorcycle,2017,287
Johor,Batu Pahat,property,Theft Vehicle Motorcycle,2018,225
Johor,Batu Pahat,property,Theft Vehicle Motorcycle,2019,208
Johor,Batu Pahat,property,Theft Vehicle Motorcycle,2020,121
